Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Trailer
Boyhood,1/20/2015,7:00 PM,1/20/2015,9:46 PM,False,http://cinema.cornell.edu/Spring2015/boyhood.html,,http://www.youtube.com/watch?v=Y0oX0xiwOv8
Gone Girl,1/21/2015,7:00 PM,1/21/2015,9:29 PM,False,http://cinema.cornell.edu/Spring2015/gone_girl.html,,http://www.youtube.com/watch?v=UTaeg-sGw9k
The Umbrellas of Cherbourg,1/22/2015,7:00 PM,1/22/2015,8:22 PM,False,http://cinema.cornell.edu/Spring2015/umbrellas_of_cherbourg.html,,http://www.youtube.com/watch?v=eqzQn15mFao
Gone Girl,1/22/2015,9:00 PM,1/22/2015,11:29 PM,False,http://cinema.cornell.edu/Spring2015/gone_girl.html,,http://www.youtube.com/watch?v=UTaeg-sGw9k
Big Hero 6,1/23/2015,6:45 PM,1/23/2015,8:27 PM,False,http://cinema.cornell.edu/Spring2015/big_hero_6.html,,http://www.youtube.com/watch?v=z3biFxZIJOQ
Gone Girl,1/23/2015,9:00 PM,1/23/2015,11:29 PM,False,http://cinema.cornell.edu/Spring2015/gone_girl.html,,http://www.youtube.com/watch?v=UTaeg-sGw9k
Big Hero 6,1/24/2015,2:00 PM,1/24/2015,3:42 PM,False,http://cinema.cornell.edu/Spring2015/big_hero_6.html,,http://www.youtube.com/watch?v=z3biFxZIJOQ
The Kingdom of Dreams and Madness,1/24/2015,6:45 PM,1/24/2015,8:43 PM,False,http://cinema.cornell.edu/Spring2015/kingdom_of_dreams_and_ma.html,,http://vimeo.com/112300903
Boyhood,1/24/2015,9:15 PM,1/24/2015,12:01 PM,False,http://cinema.cornell.edu/Spring2015/boyhood.html,,http://www.youtube.com/watch?v=Y0oX0xiwOv8
The Kingdom of Dreams and Madness,1/25/2015,4:30 PM,1/25/2015,6:28 PM,False,http://cinema.cornell.edu/Spring2015/kingdom_of_dreams_and_ma.html,,http://vimeo.com/112300903
Boyhood,1/25/2015,7:00 PM,1/25/2015,9:46 PM,False,http://cinema.cornell.edu/Spring2015/boyhood.html,,http://www.youtube.com/watch?v=Y0oX0xiwOv8
Images of the World and the Inscription of War,1/27/2015,7:00 PM,1/27/2015,8:15 PM,False,http://cinema.cornell.edu/Spring2015/images_of_the_world_and_.html,,
The Theory of Everything,1/28/2015,7:00 PM,1/28/2015,9:03 PM,False,http://cinema.cornell.edu/Spring2015/theory_of_everything.html,,http://www.youtube.com/watch?v=LUayjO_KgsQ
Un Flic,1/29/2015,7:00 PM,1/29/2015,8:38 PM,False,http://cinema.cornell.edu/Spring2015/flic_un.html,,http://www.youtube.com/watch?v=85v9fdNqWFY
Bladerunner - The Final Cut,1/29/2015,9:15 PM,1/29/2015,11:12 PM,False,http://cinema.cornell.edu/Spring2015/bladerunner__the_final_c.html,,http://www.youtube.com/watch?v=iYhJ7Mf2Oxs
Force Majeure,1/30/2015,7:00 PM,1/30/2015,8:58 PM,False,http://cinema.cornell.edu/Spring2015/force_majeure.html,,http://vimeo.com/103761731
Bladerunner - The Final Cut,1/30/2015,9:30 PM,1/30/2015,11:27 PM,False,http://cinema.cornell.edu/Spring2015/bladerunner__the_final_c.html,,http://www.youtube.com/watch?v=iYhJ7Mf2Oxs
The King and the Mockingbird,1/31/2015,2:00 PM,1/31/2015,3:23 PM,False,http://cinema.cornell.edu/Spring2015/king_and_the_mockingbird.html,,http://www.youtube.com/watch?v=4tE5902k3nE
Force Majeure,1/31/2015,7:00 PM,1/31/2015,8:58 PM,False,http://cinema.cornell.edu/Spring2015/force_majeure.html,,http://vimeo.com/103761731
The Theory of Everything,1/31/2015,9:30 PM,1/31/2015,11:33 PM,False,http://cinema.cornell.edu/Spring2015/theory_of_everything.html,,http://www.youtube.com/watch?v=LUayjO_KgsQ
The King and the Mockingbird,2/1/2015,4:30 PM,2/1/2015,5:53 PM,False,http://cinema.cornell.edu/Spring2015/king_and_the_mockingbird.html,,http://www.youtube.com/watch?v=4tE5902k3nE
The Theory of Everything,2/1/2015,7:00 PM,2/1/2015,9:03 PM,False,http://cinema.cornell.edu/Spring2015/theory_of_everything.html,,http://www.youtube.com/watch?v=LUayjO_KgsQ
Dirty Pretty Things,2/2/2015,7:00 PM,2/2/2015,8:47 PM,False,http://cinema.cornell.edu/Spring2015/dirty_pretty_things.html,,http://www.youtube.com/watch?v=t7pb2IClEys
The 52nd Ann Arbor Film Festival Tour,2/3/2015,7:00 PM,2/3/2015,8:21 PM,False,http://cinema.cornell.edu/Spring2015/52nd_ann_arbor_film_fest.html,,http://vimeo.com/106307571
L’Argent,2/4/2015,7:00 PM,2/4/2015,8:22 PM,False,http://cinema.cornell.edu/Spring2015/argent_l.html,,http://www.youtube.com/watch?v=BYiY26FAk7k
The Young Girls of Rochefort,2/5/2015,7:00 PM,2/5/2015,9:06 PM,False,http://cinema.cornell.edu/Spring2015/young_girls_of_rochefort.html,,http://www.youtube.com/watch?v=vZFK8svwtxA
Oscar Nominated Shorts: Animation!,2/5/2015,9:45 PM,2/5/2015,9:45 PM,False,http://cinema.cornell.edu/Spring2015/oscar_nominated_shorts_a.html,,http://www.youtube.com/watch?v=GpcSHActvLM
Oscar Nominated Shorts: Live Action!,2/6/2015,7:00 PM,2/6/2015,7:00 PM,False,http://cinema.cornell.edu/Spring2015/oscar_nominated_shorts_l.html,,http://www.youtube.com/watch?v=GpcSHActvLM
Birdman,2/6/2015,9:45 PM,2/6/2015,11:44 PM,False,http://cinema.cornell.edu/Spring2015/birdman.html,,http://www.youtube.com/watch?v=uJfLoE6hanc
The Boxtrolls,2/7/2015,2:00 PM,2/7/2015,3:36 PM,False,http://cinema.cornell.edu/Spring2015/boxtrolls.html,,http://www.youtube.com/watch?v=Q2dFVnp5K0o
Oscar Nominated Shorts: Animation!,2/7/2015,7:00 PM,2/7/2015,7:00 PM,False,http://cinema.cornell.edu/Spring2015/oscar_nominated_shorts_a.html,,http://www.youtube.com/watch?v=GpcSHActvLM
Birdman,2/7/2015,9:20 PM,2/7/2015,11:19 PM,False,http://cinema.cornell.edu/Spring2015/birdman.html,,http://www.youtube.com/watch?v=uJfLoE6hanc
Oscar Nominated Shorts: Live Action!,2/8/2015,1:45 PM,2/8/2015,1:45 PM,False,http://cinema.cornell.edu/Spring2015/oscar_nominated_shorts_l.html,,http://www.youtube.com/watch?v=GpcSHActvLM
Oscar Nominated Shorts: Animation!,2/8/2015,4:30 PM,2/8/2015,4:30 PM,False,http://cinema.cornell.edu/Spring2015/oscar_nominated_shorts_a.html,,http://www.youtube.com/watch?v=GpcSHActvLM
Birdman,2/8/2015,7:00 PM,2/8/2015,8:59 PM,False,http://cinema.cornell.edu/Spring2015/birdman.html,,http://www.youtube.com/watch?v=uJfLoE6hanc
Oscar Nominated Shorts: Documentary!,2/10/2015,7:00 PM,2/10/2015,7:00 PM,False,http://cinema.cornell.edu/Spring2015/oscar_nominated_shorts_d.html,,http://www.youtube.com/watch?v=GpcSHActvLM
Sympathy for the Devil,2/11/2015,7:00 PM,2/11/2015,8:51 PM,False,http://cinema.cornell.edu/Spring2015/sympathy_for_the_devil.html,,http://www.youtube.com/watch?v=D8K6SUFt9Vs
The Soft Skin,2/12/2015,7:00 PM,2/12/2015,8:55 PM,False,http://cinema.cornell.edu/Spring2015/soft_skin.html,,
The Tale of the Princess Kaguya,2/12/2015,9:35 PM,2/12/2015,11:52 PM,False,http://cinema.cornell.edu/Spring2015/tale_of_the_princess_kag.html,,http://vimeo.com/103282207
That Man From Rio,2/13/2015,7:00 PM,2/13/2015,8:52 PM,False,http://cinema.cornell.edu/Spring2015/that_man_from_rio.html,,http://www.youtube.com/watch?v=ceB4bqJVEYg
Nightcrawler,2/13/2015,9:30 PM,2/13/2015,11:27 PM,False,http://cinema.cornell.edu/Spring2015/nightcrawler.html,,http://www.youtube.com/watch?v=X8kYDQan8bw
Kid Flix Mix,2/14/2015,2:00 PM,2/14/2015,2:57 PM,False,http://cinema.cornell.edu/Spring2015/kid_flix_mix_2014.html,,
Casablanca,2/14/2015,7:00 PM,2/14/2015,8:42 PM,False,http://cinema.cornell.edu/Spring2015/casablanca.html,,http://www.youtube.com/watch?v=EJvlGh_FgcI
The Tale of the Princess Kaguya,2/14/2015,9:15 PM,2/14/2015,11:32 PM,False,http://cinema.cornell.edu/Spring2015/tale_of_the_princess_kag.html,,http://vimeo.com/103282207
The Tale of the Princess Kaguya,2/15/2015,4:00 PM,2/15/2015,6:17 PM,False,http://cinema.cornell.edu/Spring2015/tale_of_the_princess_kag.html,,http://vimeo.com/103282207
That Man From Rio,2/15/2015,7:00 PM,2/15/2015,8:52 PM,False,http://cinema.cornell.edu/Spring2015/that_man_from_rio.html,,http://www.youtube.com/watch?v=ceB4bqJVEYg
Nightcrawler,2/15/2015,9:30 PM,2/15/2015,11:27 PM,False,http://cinema.cornell.edu/Spring2015/nightcrawler.html,,http://www.youtube.com/watch?v=X8kYDQan8bw
The Power of Emotion,2/18/2015,7:00 PM,2/18/2015,8:55 PM,False,http://cinema.cornell.edu/Spring2015/power_of_emotion.html,,
Empathy,2/19/2015,4:45 PM,2/19/2015,6:17 PM,False,http://cinema.cornell.edu/Spring2015/empathy.html,,
Mississippi Mermaid,2/19/2015,6:45 PM,2/19/2015,8:48 PM,False,http://cinema.cornell.edu/Spring2015/mississippi_mermaid.html,,http://www.youtube.com/watch?v=1y_sdwusiHg
Interstellar,2/19/2015,9:25 PM,2/19/2015,12:14 PM,False,http://cinema.cornell.edu/Spring2015/interstellar.html,,http://vimeo.com/95995610
Signals: A Performance Memoir,2/20/2015,7:00 PM,2/20/2015,8:15 PM,False,http://cinema.cornell.edu/Spring2015/signals_a_performance_me.html,,
Interstellar,2/20/2015,9:35 PM,2/20/2015,12:24 PM,False,http://cinema.cornell.edu/Spring2015/interstellar.html,,http://vimeo.com/95995610
The Jungle Book,2/21/2015,2:00 PM,2/21/2015,3:18 PM,False,http://cinema.cornell.edu/Spring2015/jungle_book.html,,http://www.youtube.com/watch?v=OmnOB4RSHW8
Nightcrawler,2/21/2015,7:00 PM,2/21/2015,8:57 PM,False,http://cinema.cornell.edu/Spring2015/nightcrawler.html,,http://www.youtube.com/watch?v=X8kYDQan8bw
Interstellar,2/21/2015,9:30 PM,2/21/2015,12:19 PM,False,http://cinema.cornell.edu/Spring2015/interstellar.html,,http://vimeo.com/95995610
Interstellar,2/22/2015,4:00 PM,2/22/2015,6:49 PM,False,http://cinema.cornell.edu/Spring2015/interstellar.html,,http://vimeo.com/95995610
