Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Trailer
L’Atalante,2/14/2016,7:00 PM,2/14/2016,8:29 PM,False,http://cinema.cornell.edu/Spring2016/atalante.html,,http://www.youtube.com/watch?v=vzTN0YnKmOs
Grey Gardens,2/17/2016,7:00 PM,2/17/2016,8:34 PM,False,http://cinema.cornell.edu/Spring2016/grey_gardens.html,,http://www.youtube.com/watch?v=HZl1IJLTMXM
Theeb,2/18/2016,7:00 PM,2/18/2016,8:40 PM,False,http://cinema.cornell.edu/Spring2016/theeb.html,,http://vimeo.com/134404572
Heart of a Dog,2/18/2016,9:15 PM,2/18/2016,10:30 PM,False,http://cinema.cornell.edu/Spring2016/heart_of_a_dog.html,,http://www.youtube.com/watch?v=v37BnyHefnY
Heart of a Dog,2/19/2016,7:00 PM,2/19/2016,8:15 PM,False,http://cinema.cornell.edu/Spring2016/heart_of_a_dog.html,,http://www.youtube.com/watch?v=v37BnyHefnY
Home of the Brave,2/19/2016,9:15 PM,2/19/2016,10:45 PM,False,http://cinema.cornell.edu/Spring2016/home_of_the_brave.html,,https://www.youtube.com/watch?v=KvOoR8m0oms
The Good Dinosaur,2/20/2016,2:00 PM,2/20/2016,3:40 PM,False,http://cinema.cornell.edu/Spring2016/good_dinosaur.html,,http://www.youtube.com/watch?v=daFnEiLEx70
Theeb,2/20/2016,7:00 PM,2/20/2016,8:40 PM,False,http://cinema.cornell.edu/Spring2016/theeb.html,,http://vimeo.com/134404572
Steve Jobs,2/20/2016,9:15 PM,2/20/2016,11:17 PM,False,http://cinema.cornell.edu/Spring2016/steve_jobs.html,,http://www.youtube.com/watch?v=aEr6K1bwIVs
The Good Dinosaur,2/21/2016,4:30 PM,2/21/2016,6:10 PM,False,http://cinema.cornell.edu/Spring2016/good_dinosaur.html,,http://www.youtube.com/watch?v=daFnEiLEx70
Steve Jobs,2/21/2016,7:00 PM,2/21/2016,9:02 PM,False,http://cinema.cornell.edu/Spring2016/steve_jobs.html,,http://www.youtube.com/watch?v=aEr6K1bwIVs
Day For Night,2/24/2016,7:00 PM,2/24/2016,8:56 PM,False,http://cinema.cornell.edu/Spring2016/day_for_night.html,,http://www.youtube.com/watch?v=OBen19EjYAc
The Second Mother,2/25/2016,7:00 PM,2/25/2016,8:52 PM,False,http://cinema.cornell.edu/Spring2016/second_mother.html,,http://www.youtube.com/watch?v=XXtkQitLmss
Meru,2/25/2016,9:25 PM,2/25/2016,10:55 PM,False,http://cinema.cornell.edu/Spring2016/meru.html,,http://www.youtube.com/watch?v=YvS6O9lVkkg
Internet Cat Video Festival,2/26/2016,7:00 PM,2/26/2016,8:05 PM,False,http://cinema.cornell.edu/Spring2016/internet_cat_video_festi.html,,http://www.youtube.com/watch?v=MjG0t8lv-eE
Cowboy Bebop: The Movie,2/26/2016,9:00 PM,2/26/2016,10:56 PM,False,http://cinema.cornell.edu/Spring2016/cowboy_beebop_the_movie.html,,http://www.youtube.com/watch?v=aa4z_ey1MS4
Kid Flix 1,2/27/2016,2:00 PM,2/27/2016,3:00 PM,False,http://cinema.cornell.edu/Spring2016/kid_flix_1.html,,http://vimeo.com/133488446
Meru,2/27/2016,8:30 PM,2/27/2016,10:00 PM,False,http://cinema.cornell.edu/Spring2016/meru.html,,http://www.youtube.com/watch?v=YvS6O9lVkkg
PK,2/27/2016,5:00 PM,2/27/2016,7:33 PM,False,http://cinema.cornell.edu/Spring2016/pk.html,,http://vimeo.com/111881647
The Second Mother,2/28/2016,4:30 PM,2/28/2016,6:22 PM,False,http://cinema.cornell.edu/Spring2016/second_mother.html,,http://www.youtube.com/watch?v=XXtkQitLmss
Oscar Viewing Party in the Bear’s Den,2/28/2016,7:00 PM,2/28/2016,11:30 PM,False,http://cinema.cornell.edu/Spring2016/oscar_viewing_party.html,Ivy Room,
Racing Extinction,2/29/2016,7:00 PM,2/29/2016,8:30 PM,False,http://cinema.cornell.edu/Spring2016/racing_extinction.html,,http://www.youtube.com/watch?v=MwxyrLUdcss
