Iron Man 3,09/11/13,9:45 PM,09/11/13,9:45 PM,False,http://cinema.cornell.edu/Fall2013/iron_man_3.html,,http://www.youtube.com/watch?v=oYSD2VQagc4
Something in the Air,09/12/13,7:00 PM,09/12/13,9:02 PM,False,http://cinema.cornell.edu/Fall2013/something_in_the_air.html,,http://www.youtube.com/watch?v=RXimuzHv6Ek
Behind the Candelabra,09/12/13,9:30 PM,09/12/13,11:28 PM,False,http://cinema.cornell.edu/Fall2013/behind_the_candelabra.html,,http://www.youtube.com/watch?v=fp3wAyRf15c
Room 237,09/13/13,7:15 PM,09/13/13,8:57 PM,False,http://cinema.cornell.edu/Fall2013/room_237.html,,http://www.youtube.com/watch?v=khPPlvMnaV0
The Shining,09/13/13,9:30 PM,09/13/13,11:52 PM,False,http://cinema.cornell.edu/Fall2013/shining.html,,http://www.youtube.com/watch?v=HEew7zvpAWE
Something in the Air,09/14/13,7:00 PM,09/14/13,9:02 PM,False,http://cinema.cornell.edu/Fall2013/something_in_the_air.html,,http://www.youtube.com/watch?v=RXimuzHv6Ek
Behind the Candelabra,09/14/13,9:30 PM,09/14/13,9:30 PM,False,http://cinema.cornell.edu/Fall2013/behind_the_candelabra.html,,http://www.youtube.com/watch?v=fp3wAyRf15c
Room 237,09/15/13,7:15 PM,09/15/13,7:15 PM,False,http://cinema.cornell.edu/Fall2013/room_237.html,,http://www.youtube.com/watch?v=khPPlvMnaV0
The Shining,09/15/13,9:30 PM,09/15/13,9:30 PM,False,http://cinema.cornell.edu/Fall2013/shining.html,,http://www.youtube.com/watch?v=HEew7zvpAWE
Harvest of Empire,09/16/13,7:00 PM,09/16/13,7:00 PM,False,http://cinema.cornell.edu/Fall2013/harvest_of_empire.html,,http://vimeo.com/48145023
High Noon,09/18/13,7:00 PM,09/18/13,8:25 PM,False,http://cinema.cornell.edu/Fall2013/high_noon.html,,http://www.youtube.com/watch?v=g9CR_tib0CA
The Bling Ring,09/18/13,9:00 PM,09/18/13,10:30 PM,False,http://cinema.cornell.edu/Fall2013/bling_ring.html,,http://www.youtube.com/watch?v=BST3CCnP6uE
Touch,09/19/13,7:15 PM,09/19/13,8:23 PM,False,http://cinema.cornell.edu/Fall2013/touch.html,,http://vimeo.com/62376242
Monsters University,09/19/13,9:30 PM,09/19/13,11:14 PM,False,http://cinema.cornell.edu/Fall2013/monsters_university.html,,http://www.youtube.com/watch?v=xBzPioph8CI
Sundance Shorts,09/20/13,7:15 PM,09/20/13,8:48 PM,False,http://cinema.cornell.edu/Fall2013/sundance_shorts.html,,http://www.youtube.com/watch?v=4A4H_zwifnA
