Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Trailer
A Touch of Sin,2/9/2014,7:15 PM,2/9/2014,9:20 PM,False,http://cinema.cornell.edu/Spring2014/touch_of_sin.html,,http://www.youtube.com/watch?v=VUJt_kf7uKQ
Jurassic Park,2/10/2014,7:15 PM,2/10/2014,9:18 PM,False,http://cinema.cornell.edu/Spring2014/jurassic_park.html,,http://www.youtube.com/watch?v=QWBKEmWWL38
Blackmail,2/12/2014,7:00 PM,2/12/2014,8:26 PM,False,http://cinema.cornell.edu/Spring2014/blackmail.html,,http://explore.bfi.org.uk/get_video_player/17850
Eternal Sunshine of the Spotless Mind,2/12/2014,9:30 PM,2/12/2014,11:18 PM,False,http://cinema.cornell.edu/Spring2014/eternal_sunshine_of_the.html,,http://www.youtube.com/watch?v=lnSgSe2GzDc
Kill Your Darlings,2/13/2014,7:00 PM,2/13/2014,8:44 PM,False,http://cinema.cornell.edu/Spring2014/kill_your_darlings.html,,http://www.youtube.com/watch?v=AxGgkEHmHHg
Thor: The Dark World,2/13/2014,9:45 PM,2/13/2014,11:37 PM,False,http://cinema.cornell.edu/Spring2014/thor_the_dark_world.html,,http://www.youtube.com/watch?v=jHFhZLJajlc
Eternal Sunshine of the Spotless Mind,2/14/2014,7:15 PM,2/14/2014,9:03 PM,False,http://cinema.cornell.edu/Spring2014/eternal_sunshine_of_the.html,,http://www.youtube.com/watch?v=lnSgSe2GzDc
Thor: The Dark World,2/14/2014,9:35 PM,2/14/2014,11:27 PM,False,http://cinema.cornell.edu/Spring2014/thor_the_dark_world.html,,http://www.youtube.com/watch?v=jHFhZLJajlc
Cloudy with a Chance of Meatballs 2,2/15/2014,2:00 PM,2/15/2014,3:35 PM,False,http://cinema.cornell.edu/Spring2014/cloudy_with_a_chance_of.html,,http://www.youtube.com/watch?v=jw6dECrl-BE
Kill Your Darlings,2/15/2014,7:15 PM,2/15/2014,8:59 PM,False,http://cinema.cornell.edu/Spring2014/kill_your_darlings.html,,http://www.youtube.com/watch?v=AxGgkEHmHHg
Thor: The Dark World,2/15/2014,9:30 PM,2/15/2014,11:22 PM,False,http://cinema.cornell.edu/Spring2014/thor_the_dark_world.html,,http://www.youtube.com/watch?v=jHFhZLJajlc
Cloudy with a Chance of Meatballs 2,2/16/2014,4:30 PM,2/16/2014,6:05 PM,False,http://cinema.cornell.edu/Spring2014/cloudy_with_a_chance_of.html,,http://www.youtube.com/watch?v=jw6dECrl-BE
Thor: The Dark World,2/16/2014,7:15 PM,2/16/2014,9:07 PM,False,http://cinema.cornell.edu/Spring2014/thor_the_dark_world.html,,http://www.youtube.com/watch?v=jHFhZLJajlc
"As Above, So Below",2/19/2014,7:00 PM,2/19/2014,7:50 PM,False,http://cinema.cornell.edu/Spring2014/as_above_so_below.html,,http://vimeo.com/50187390
Oscar Shorts: Animation! (2013),2/19/2014,9:15 PM,2/19/2014,9:15 PM,False,http://cinema.cornell.edu/Spring2014/oscar_shorts_animation_2.html,,http://www.youtube.com/watch?v=I2EqS2kHL64
Downhill,2/20/2014,7:00 PM,2/20/2014,8:45 PM,False,http://cinema.cornell.edu/Spring2014/downhill.html,,http://www.youtube.com/watch?v=1iiZ3BO5dpk
