1/27/2017	Kubo and the Two Strings	7:15		Travis Knight	Charlize Theron, Art Parkinson, Ralph Fiennes, George Takei	In the latest movie from stop-motion animation studio Laika, a young boy named Kubo must locate a magical suit of armor worn by his late father in order to defeat a vengeful spirit from the past. Recommended for ages 8+	2016	Yes	1	41	USA	no			No	kubothemovie.com	DCP 'Scope
1/27/2017	Arrival	9:30		Denis Villeneuve	Amy Adams, Jeremy Renner, Forest Whitaker	When mysterious spacecraft touch down across the globe, the American government puts together an elite team to investigate. Mankind teeters on the verge of global war as everyone scrambles for answers – who are the visitors, why are they here, and what do they want? To communicate with them, linguistics expert Louise Banks will take a chance that could threaten her life, and quite possibly humanity.	2016	Yes	1	56	USA	no			No	arrivalmovie.com	DCP 'Scope
1/28/2017	Kubo and the Two Strings	2:00		Travis Knight	Charlize Theron, Art Parkinson, Ralph Fiennes, George Takei	In the latest movie from stop-motion animation studio Laika, a young boy named Kubo must locate a magical suit of armor worn by his late father in order to defeat a vengeful spirit from the past. Recommended for ages 8+	2016	Yes	1	41	USA	no			No	kubothemovie.com	DCP 'Scope
1/28/2017	Arrival	7:00		Denis Villeneuve	Amy Adams, Jeremy Renner, Forest Whitaker	When mysterious spacecraft touch down across the globe, the American government puts together an elite team to investigate. Mankind teeters on the verge of global war as everyone scrambles for answers – who are the visitors, why are they here, and what do they want? To communicate with them, linguistics expert Louise Banks will take a chance that could threaten her life, and quite possibly humanity.	2016	Yes	1	56	USA	no			No	arrivalmovie.com	DCP 'Scope
1/28/2017	American Honey	9:30		Andrea Arnold	Shia LaBeouf, Riley Keough, Sasha Lane	partying, young loveroad trip across the American Midwest selling magazine subscriptions, 	2016	Yes	2	43	UK/USA	no				americanhoney-movie.com	DCP
1/29/2017	Kubo and the Two Strings	4:30		Travis Knight	Charlize Theron, Art Parkinson, Ralph Fiennes, George Takei	In the latest movie from stop-motion animation studio Laika, a young boy named Kubo must locate a magical suit of armor worn by his late father in order to defeat a vengeful spirit from the past. Recommended for ages 8+	2016	Yes	1	41	USA	no			No	kubothemovie.com	DCP 'Scope
1/29/2017	American Honey	7:00		Andrea Arnold	Shia LaBeouf, Riley Keough, Sasha Lane	partying, young loveroad trip across the American Midwest selling magazine subscriptions, 	2016	Yes	2	43	UK/USA	no				americanhoney-movie.com	DCP
1/30/2017	American Honey	7:00		Andrea Arnold	Shia LaBeouf, Riley Keough, Sasha Lane	partying, young loveroad trip across the American Midwest selling magazine subscriptions, 	2016	Yes	2	43	UK/USA	no				americanhoney-movie.com	DCP
1/31/2017	All Governments Lie: Truth, Deception, and the Spirit of I.F. Stone	7:00		Fred Peabody	I.F. Stone, Carl Bernstein, Noam Chomsky	Independent media stars Amy Goodman, Michael Moore, Matt Taibbi, Jeremy Scahill, and Glenn Greenwald make their case against the Mainstream Media with the help of Washington Post’s Carl Bernstein, academic Noam Chomsky & Ralph Nader. Doc presents them as heirs to I.F. “Izzy” Stone, whose work is presented in a thumbnail sketch.	2016 	Yes	1	31	Canada	yes				allgovernmentslie.com	
2/1/2017	Imitation of Life	7:00		Douglas Sirk	Juanita Moore, Lana Turner, Sandra Dee, Susan Kohner	In his final film, Sirk remakes Imitation of Life, a popular melodrama that explores mother-child relations, passing, and class conflict.  “Nothing is natural.  Ever.  Not in the whole film.”  (Rainer Werner Fassbinder) 	1959	Yes	2	5	USA	no					DCP
2/1/2017	Moonlight	9:30		Barry Jenkins 	Mahershala Ali, Janelle Monáe, Kevin Sanderson, Jharrell Jerome, Trevante Rhodes, André Holland	Tough yet tender, gritty yet sensual, heart-rending and joyful, this remarkable film in which a gentle Black boy bullied as a “faggot” grows to manhood in Liberty City, Miami is “a cultural watershed—a work that dismantles all the ways our media view young black men and puts in their place a series of intimate truths. You walk out feeling dazed, more whole, a little cleaner.” (Boston Globe)	2016	Yes	1	51	USA 	no				moonlight-movie.com	DCP 'Scope
2/2/2017	Moonlight	7:00		Barry Jenkins 	Mahershala Ali, Janelle Monáe, Kevin Sanderson, Jharrell Jerome, Trevante Rhodes, André Holland	Tough yet tender, gritty yet sensual, heart-rending and joyful, this remarkable film in which a gentle Black boy bullied as a “faggot” grows to manhood in Liberty City, Miami is “a cultural watershed—a work that dismantles all the ways our media view young black men and puts in their place a series of intimate truths. You walk out feeling dazed, more whole, a little cleaner.” (Boston Globe)	2016	Yes	1	51	USA 	no				moonlight-movie.com	DCP 'Scope
2/2/2017	Handmaiden, The	9:20		Chan-wook Park	Min-hee Kim, Jung-woo Ha, Jin-woong Jo	1930s Korea, in the period of Japanese occupation, a new girl is hired as a handmaiden to a Japanese heiress who lives a secluded life on a large countryside estate with her domineering Uncle. But the maid has a secret. She is a pickpocket recruited by a swindler posing as a Japanese Count to help him seduce the Lady to elope with him, rob her of her fortune, and lock her up in a madhouse. The plan seems to proceed accordingly until the two women discover some unexpected emotions.	2016	Yes	2	24	South Korea	no			Yes	handmaidenmovie.com	DCP 'Scope
2/3/2017	Moonlight	7:00		Barry Jenkins 	Mahershala Ali, Janelle Monáe, Kevin Sanderson, Jharrell Jerome, Trevante Rhodes, André Holland	Tough yet tender, gritty yet sensual, heart-rending and joyful, this remarkable film in which a gentle Black boy bullied as a “faggot” grows to manhood in Liberty City, Miami is “a cultural watershed—a work that dismantles all the ways our media view young black men and puts in their place a series of intimate truths. You walk out feeling dazed, more whole, a little cleaner.” (Boston Globe)	2016	Yes	1	51	USA 	no				moonlight-movie.com	DCP 'Scope
